userName,content,score,at
Emy Kamariah,screenlock hhe,5,2025-04-10 17:16:04
Jamjam Edi,cepatt,5,2025-04-10 15:29:31
Adrian Novigasa,muantaaaaap,5,2025-04-10 13:33:52
rahayu norma,"sudah bagus, cuma kenapa ada biaya admin kalo mau isi dana dari m-banking BCA ke blu BCA",4,2025-04-10 12:15:19
CaeZzar Alfatih,sepi promo,3,2025-04-10 09:26:05
Budiyanto hp,responnya kurang greget pengajuan sll gagal total dr pertama buka,2,2025-04-10 09:19:40
Alga Agus Kurnia,sulit banget,5,2025-04-10 05:18:10
Medy Pratama,untuk verifikasi wajah selalu gagal padahal hp tidak bergoyang tolong di perbaiki,3,2025-04-10 04:06:44
Fransah Irawan,bagi pengguna blu saran jgn di pakai buat top up flazz... kapoksaya saldo sudah terpotong saldo flazz gk masuk mana proses pengembalian lamaaaaaaa,1,2025-04-10 03:57:15
labitolo coy,mantul coy,5,2025-04-10 03:28:49
Abdullah Masyaid,untuk sebagian orang mungkin akan terganggu ketika mau masuk akun rekening blu by BCA Digital. dengan loading tampilan awal yang cukup agak lama dan harus melewati mode highlight di lanjutkan loading tampilan kedua. hingga mencapai keamanan kunci login aplikasi. tidak seperti bank digital dari seabank yang bisa langsung menuju keamanan kunci login aplikasi.,3,2025-04-10 01:14:48
Putra Surya,saya suka pakai blu untuk transaksi,5,2025-04-10 00:44:27
Nila Asmara,saya nasabah BCA sdh lama. dan sangat sering bertransaksi pakai BCA.Tapi kmrn waktu mengajukan pinjaman di blu. verifikasi nya sangat lama dan selalu di tolak dengan alasan tidak sesuai kriteria untuk meminjam di blu. dan sekarang mau saya hapus aplikasi blu. karena sangat tidak bermanfaat. trimakasih,2,2025-04-09 14:49:46
Eric Christopher Jacinto Husin,"Pengajuan pinjaman ditolak padahal nggak ada masalah BI Checking, apalagi terlalu lama utk pengajuan kembali 90 hari",1,2025-04-09 08:38:11
Agus Winarno,"Tolong aplikasi nya di buat lebih smooth, lebih responsif, tidak berat untuk menggunakan aplikasinya Kasihan orang yg ingin menggunakan aplikasi blu, tapi device nya kurang memadai",4,2025-04-09 07:30:16
Ahmad Ismail Al Masykuri,buat topup shopeepay udah gabisa,1,2025-04-09 03:03:49
Tiara utami Julianty,saya udh daftar tpi sampe sekarang beluman di ACC sama adminnya padahal udh 2 hari yg lalu daftarin akunnya,1,2025-04-09 02:43:25
Kylie Lourenza,"mau verifikasi muka susah sekali, padahal akun sendiri, muka sendiripun susah, padahal tidak pakai masker, posisi dibawah lampu terang benderang, hp tidak goyang, orangnya juga tidak goyang, masih belum bisa dibilang gelap, memang hp saya jadul, jadi kamera depan standar tidak bagus bersih, masa harus beli hp baru untuk masuk nya, GILAAA semua syarat sudah di ikutin, cuma masalahnya kamera depan krn hp android lama jadi jelek",1,2025-04-09 02:02:31
Anjeli Putri,ini knp mau transaksi beli telegram premium fee biaya admin nya gede kali padahal di tele nya 47.900 ko jadi 70k bnyk kali,3,2025-04-08 17:29:54
heri susanto,sangat membantu,5,2025-04-08 16:39:43
Hafiedz Yudha,"saat awal mulai pakai, sangat membantu sekali untuk penyimpanan alternatif selain di rekening BCA utama. karena untuk transfer dari Rekening BCA ke Blu tidak di kenakan biaya. tetapi setelah Blu memutuskan untuk menetapkan tarif normal pertransaksi, saya sangat kecewa sekali.",2,2025-04-08 16:32:21
Mucky Pramanasidi,blue ok banget deh 😁👍❤️❤️❤️,5,2025-04-08 15:11:03
Rere 23,bagus banget apk nya. dulu sering lemot mungkin karena RAM hp ku kepenuhan tp sekarang Alhamdulillah lancarrr APK nya Semoga rejeki nya juga hehe Amiinnn. trus enak nya di APK ini tuh bisa di pisah pisah uang nya,4,2025-04-08 11:01:18
Noval Eka Wahyuda,Aplikasi yang sangat membantu untuk menabung,5,2025-04-08 10:41:25
Adhy Mara,NOT RECOMMENDED......,1,2025-04-08 09:58:30
Qian Fiorenza,sangat suka sekali pakai aplikasi blu bca ini,5,2025-04-08 09:43:39
Nurfan Cahya Adi,"UANG SAYA HILANG DI BLU 11 JUTA, HATI2 YANG MENGGUNAKAN BLU",1,2025-04-08 05:55:55
Aisya Dyva,"sebenernya bagus tp login saya ga bisa2 .. bahkan masuk ke nomor ponsel saja belum mendapatkan kode otp sampai d alihkan ke wa. kalaupun berkaitan dg nomor hp, nomor masih aktif dan ada pulsanya.. 🙏🏻",3,2025-04-08 05:13:17
William,"saya suka sekali menggunakan blu, kartunya yang keren, cs-nya yang fast respon, fitur blusaving bisa dengan nominal terkecil pula, dijamin lps dan ojk 👍. cuma saya tidak menemukan fitur dark mode dan intip saldo tanpa masuk kedalam menu aplikasi. semoga kedepannya blu menambahkan fitur tersebut. Terima kasih",5,2025-04-08 04:15:00
Yosep Sutriono,mantap makin canggih dan nyaman,5,2025-04-08 03:17:30
Rayu Handari,min knpa verifikasi data lama ya,4,2025-04-08 03:11:14
Ari Yulianto,"mungkin karena terlalu secure bertransaksi jadi lemotnya terasa sekali. cocok buat tabungan berjangka aja bukan buat transaksi sehari hari deh. fast respon memang ku akui CS nya. tapi ya itu, aplikasinya berat.",3,2025-04-08 03:00:32
Ria Suharya,"senang TRX di blu, gratis admin",5,2025-04-08 02:00:56
Mohammad Rosyid,terbaik,5,2025-04-07 17:40:31
Muhammad Agung Pratama Lutfie,"1. aplikasi berat/kurang optimalisasi. Saya telah mencoba di samsung a55 dan iphone 14 pro (app store yaa, bukan ip hdc), tetapi untuk membuka halaman qris saja memakan waktu yang lumayan lama dibandingkan m-bangking lain (terjadi pada setiap membuka halaman). 2. sekarang transfer dari bca ke blu sudah ada biaya admin. Saya secara personal, tertarik untuk memakai blu karena sebelumnya tidak ada biaya admin.",1,2025-04-07 15:36:48
Pandu Dewananta,gak bisa top up di shoope pay,5,2025-04-07 11:25:45
puspita larasati,"semakin ke sini udah semakin baik. tapi tolong lah kalo tarik tunai di ATM ntu jangan pake admin, soalnya lumayan biarpun 3500😌",5,2025-04-07 11:17:49
zammil hidayat,very good,5,2025-04-07 11:16:35
John Fhelix,saya mau masuk ke akun Blu saya malah gak bisa,2,2025-04-07 07:53:48
akbar mahardhika,Keren banget 🤩,5,2025-04-07 07:36:52
revina zara,"Sudah beberapa kali mau bayar atau mau transfer tapi aplikasi tidak bisa di buka, stack di halaman masuk / putih aja di saat buka BCA dan aplikasi lain lancar. jadi takut klok semua uang di masuin disana trus mau di pakai ga ada yang bantu transfer dari orang terdekat. *tidak ada update di play store",1,2025-04-07 07:31:59
Nurdianti Dian,"setelah di update pembayaran shopee malah di hilangkan, padahal saya sering cek out via blue. Tolong kembalikan seperti sebelumnya",3,2025-04-07 07:14:34
Vania Setra,"jelekk banget , hp sy ke reset karena musibah, mau masuk ulang buat ambil uang saja ribett, dibilang wajah tak sesuai lahh, akun terblokir lahhh, maksudnya apaan coba, duit gue disitu mana masih banyak, ini gue mati kelaparan woi lahh ga bisa beli makan sialannn.",1,2025-04-07 06:08:24
Julian Michels,login susah banget nunggu 1 jam ? via WhatsApp gaak ada terus otp yaa mending lu matiin aja fitur otp WhatsApp. bikin emosi ja,1,2025-04-07 05:09:55
Mba Cinda Meysha,"mengapa tiba"" Aplikasi ini tidak bisa di buka.? padahal saya mau melakukan pembayarab",5,2025-04-07 04:52:21
Dimas Sutarno,lemot terlalu berat,4,2025-04-07 04:47:55
Jill Devils,"mantap benerrr,, transaksi jd lebih mudah dan simple... recommend bnget deh pokoknya...",5,2025-04-07 04:36:31
Natasya Ellynt,"tolong dioptimalkan aplikasinya, karna kadang lemot banget buat transaksinya",4,2025-04-07 03:18:50
rrq capta,bank digital teraman,5,2025-04-07 03:01:25
Alfi,kocak ini aplikasi udah benar kata sandi nya malah salah dan membuat kartu nya pake video call segala nya bikin susah aja dan saya hapus aplikasi nya karena pendaftaran nya sulit banget padahal udah masukan semua tetap salah,1,2025-04-07 00:25:46
Jajat Sudrajat,Bagus,5,2025-04-07 00:10:52
Eugene,jujur suka suka aja pakai ini cuma ga suka di step vc nya karena spiker rusak kamera pun blur coba di update lagi,1,2025-04-06 23:51:37
Laila Maghfiroh,kemarin pas AQ pakek apknya bagus banget trs ada perubahan AQ bingung KK g bisa login yaaaaaa mohon bantuannya,4,2025-04-06 23:40:09
salmanoi 123,sejauh ini bagus 👍😍,5,2025-04-06 19:33:27
M Repi Akbar,mbangkin paling best,5,2025-04-06 13:24:54
Mesy Sameh,"Tolong banget diperbaiki sistem nya biar lebih cepet, gesit dan ringan. Blu ini bagus tanpa ada potongan admin, banyak fitur saving, dan fitur menarik lainya, tapi terlalu berat jadi lelet dan bug terus. Mau buka apk aja nunggu bbrp menit ngabisin waktu, jadi gabisa di buru². Saya baca udh banyak juga yg ngasih rate tentang keleletan ini, mungkin bisa segera diperbaiki",4,2025-04-06 12:45:27
Naftah Video 2024,"halo blu, secara keseluruhan saya senang menggunakan blu, namun untuk loading yang sangat lama terkadang membuat saya merasa tidak nyaman dalam menggunakan aplikasi ini, harap segera diperbaiki dan ditingkatkan lagi terima kasih, salam hangat",4,2025-04-06 11:32:54
Rina Rosdiana,Karena BCA sih jadi lebih yakin dan selqma pemakaian gak ribet cepat cukup m3muadkan untuk pemakai baru,5,2025-04-06 03:58:58
Sri ayu,"kalo ada bintang 10 saya kasih 10 deh. hari ini jam 00:47 saya Chet cs nya blu dan masih di jawab cepet keren banget, jarang ada cs bank yang layanannya 24/7 jam. makin ke sini makin banyak promo menarik pula, salah satu nya kartu debit Garuda mails jadi pas belanja bisa sambil kumpulin poin biar bisa dapat tiket pesawat kelas bisnis murah/geratis. terus juga bisa transfer geratis dan minimal transfer 5K, bisa investasi dan buka tabungan deposito juga👍👍👍👍👍👍",5,2025-04-05 17:50:38
MHD'S Project,"Lambat, dan kurang responsif, kelamaan loading, mohon dibenahi",3,2025-04-05 15:23:03
Nazwa Nursyifa,LEMOT BGT MALES,1,2025-04-05 12:43:53
Rikky Setiawan,Aplikasi verifikasi paling lama,1,2025-04-05 10:38:52
Sumadi Praja,saya sangat puas paksi Blu BCA,5,2025-04-05 09:27:29
Harv Scarlette,"Sebenernya udah bagus banget, mana kita bisa pisah-pisah saving nya. Cuma keluhannya buat aku ada di verifikasi wajah buat login aja. Mungkin karena device yang aku pake kameranya kurang jadi susah banget login, sampe sekarang gabisa login lagi😔",5,2025-04-05 07:29:30
tesha caca,"simple dan sudah bagus,hanya suka lelet KLW mau transaksi atau buka akun bluenya..",5,2025-04-05 06:21:32
hadeuhh,semenjak update ga bisa isi flash... bca virtual account juga ga bisa bayar parah bgt sih,2,2025-04-05 05:25:00
dini hidayah,makin hari makin lemot. ga bisa digunakan buat hp usia under 2020. mau transfer aja gagal mulu bukan karen koneksi tapi icon icon pada fitur ga bisa diklik. bahkan beberapa kali ngelag,3,2025-04-05 03:38:22
Rizky Padilah,"Baru aja Daftar kemarin, kayaknya sekarang sudah mulai ada perubahan yang tadinya berat, lemot alias lelet, mulai terasa ringan mulai dari log in, ataupun mau transaksi sekarang sudah mulai terasa smootth meskipun masih ada lag lag , kalau bisa untuk animasinya di perhalus lagi ya kalau bisa d hilangkan saja biar tidak terlalu membebani aplikasi nya. Next Update Sistemnya ditingkatkan lagi dan disempurnakan. Sementara Bintang 4 dulu",4,2025-04-05 00:06:59
Andini Christaliani,layanan nya mudah,5,2025-04-04 15:42:25
Tri,good bagus,5,2025-04-04 15:08:05
Ike Yustia,Transaksi lancar dan mudah,5,2025-04-04 14:01:47
Mustabiin Mus,suka eror kenapa min tolong di perbaiki,2,2025-04-04 11:59:30
Nobita Bakurasa,"sumpah demi Allah barusan ini sy dapat app kayak gini masa KTP ku palsu,, parah aplikasinya",1,2025-04-04 10:55:10
Imelda,mantap,5,2025-04-04 08:48:55
Deny Adin,Bagus sih tapi sering kali maintenance mau ambil uang ga bisa,5,2025-04-04 06:23:07
Maryono Yono,"harus di update tapi kenapa malah ngga bisa di lanjutkan, aplikasinya terlalu lamaa. sudah nunggu dikasir jadi kena omell. mohon untuk di perbaiki lagi",3,2025-04-04 06:21:30
Rachmat Kurnia,mantab bagusan ni ketimbang MBengking BCA picture nya sudah lengkap,5,2025-04-04 06:18:05
Diah Ayu,"awal awal pakai Blu msh eror, Alhamdullilah sekarang jadi favorit utk nyimpen simpanan, terus di tingkatkan ya.. biar bisa pakai blu seterusnya utk transaksi",5,2025-04-04 04:59:50
Auliyah,"Bikin kartu blu bca, dari bulan kemarin sampe skrng ga sampai2, agak kecewa sih",2,2025-04-04 01:18:49
Monica Anggraini,udah 4 hari ini gabisa di buka sama sekali,1,2025-04-03 23:55:03
Ihwanushshafwan Abdurrahman Alfaruqi (Faruq),"bagus sekali, agak lambat",5,2025-04-03 23:24:51
Refa Ayu,kenapa udah gaada tf shopeepay???🥺,2,2025-04-03 19:50:06
Sukur Salam sahara,mantap,5,2025-04-03 15:32:24
Muhammad Ali Toni,"aplikasinya bagus dan mudah..cuma agak lelet kalau buka aplikasi.padahal pakai hp ram 8 gb,semoga kedepannya di perkecil lagi aplikasinya sehinga cepat saat login",5,2025-04-03 15:10:00
Ahmad Alnajid,sangat membantu,4,2025-04-03 14:52:21
FREDI FRADANA,aplikasi ya sih bagus simpel tpi tolong dong apk ya di perbaiki soalnya selalu delay di device saya padahal ram 8/128 internet full hp kelas menengah ke atas harga 3jt an masa kalah sama apk sebelah yg bgtu lancar...,5,2025-04-03 13:54:10
Mohamad Sofian,"sekarang baru ngerti ...ini app bisa membantu untk transaksi sehari """,5,2025-04-03 13:25:46
Tety Nurhayati,"Aplikasinya bagus, tp kenapa ya sekarang itu tiap kali mau transfer / isi e wallet / tarik tunai slalu gagal trus keterangannya cek status. pdhl sebelum2nya lancar2 aja..?",5,2025-04-03 09:38:55
Gus Ipul Official (Gus Ipul),memudahkan transaksi,5,2025-04-03 09:29:15
Adresia Rere,ok bgt.,5,2025-04-03 06:45:19
wulandarii,yaampun apl minta di restart muluu udh di uninstall di install lagi ttep gak bisaa masuk tolong lahhhhh jgn bikin kecewa gini udh lama pake blue berharap lebih baik malah lemot,2,2025-04-03 06:41:48
Yolan Yusdinda,"cukup membantu dan mudah , asal jangan ada potongan agak mahal kayak d sebelah",5,2025-04-03 06:37:51
Silke Syahidah,"Ya ampun mau buka rekening sulit bgt, tinggal video call customer service udh sabar nunggu antrean gada yg angkat, coba telpon lagi malah ngulang antrian dari awal hadehhh dah lah males.",1,2025-04-03 05:06:46
Aura Aulia,"so far untuk pembukaan rekeningnya aman. cuma saran saya, blu bca ttp harus upgrade dari segi kecepatan layanan di aplikasi. fiturnya udeh oke nih, beda dr yg lain krn ada saku untuk nabungnya. udah menang lah istilahnya, tapi kalo layanannya lemot.. ya ttp kalah. saku gaakan jd nilai plus jangan iya-iya aja, ya. tolong perbaiki & denger review konsumen untk perbaikan ke depannya. kita butuh bukti nyata, bukan sekadar omongan. good luck blu bca.",4,2025-04-03 04:19:49
Dara Mawar,Plissss jangan harus update terussss😩,5,2025-04-03 02:17:24
Mariani Ulpah,tolong untuk pembayaran di Alfa atau Indomaret QR pembayaran blm ada,5,2025-04-03 01:36:38
Muhamad Arafi,"KAMERA VERIF EROR TRUS,PASTIKAN KAMERA TIDAK BERGERAK",1,2025-04-02 15:18:09
Kerinci Gaming,aplikasi yang sangat bagus,5,2025-04-02 14:03:41
rYans Sopiyan Sauri,sangat bermanfaat,5,2025-04-02 11:59:04
Arka Nana,aga aneh skrg pemakaian reward cashback nya tidak bisa dilakukan . pdhl sdh tertera tenant yg ikut promo cashback tpi tdk bisa dilakukan . percuma dong download blubca lagi . sblmnya udh sya haps krna ada bbrp yg menaruk mnrt saya ya sya download lagi ini malah aneh,3,2025-04-02 10:33:15
endang supriatna,mantap banget pokoknya dan sangat membantu saya,5,2025-04-02 08:01:15
Lanesva Elsi,saya sangat suka pake blu digital tp kok di kota saya blom ada pinjaman buat nasabah yah,5,2025-04-02 04:59:01
Frisco Noveri,sangat bagus dan cepat,5,2025-04-02 02:22:09
Sandi Wahyudi,"cukup baik, tolong perbaiki : 1. Tolong beri waktu lebih lama ketika user lagi keluar dari aplikasi blu, jangan baru keluar 10-15 detik dari aplikasi, balik lagi ke laman awal login aps. 2. Responsibilitas saat pindah antar menu dalam aplikasi diperbaiki biar lebih gesit.",4,2025-04-02 01:55:29
Sugeng,josss,5,2025-04-01 18:47:38
Oktober Limabelas,mantap sih klo kta aku. g ribet,5,2025-04-01 16:45:43
Hengki Hanan,menyusahkan harus aktifkan scren lock.tapi kekunci semua ke layar hp.harusnya di bikin mudah seperti aplikasi bank digital yang lain layar kunci hanya ke aplikasi saja.,1,2025-04-01 14:48:29
Deddy Mayhad,Saya sudah linked ke Tokocrypto tapi kenapa saya tidak bisa top up ke TKO? Saya ulang berkali kali kondisinya tetap sama.,2,2025-04-01 14:06:58
NORPATMAWATI,"Kemarin tinggal tahapan akhir, malah dimatikan oleh CS nya",4,2025-04-01 09:54:40
J ADI WIBOWO,Mantap sekali pasti berguna terima kasih,5,2025-04-01 09:08:13
Imronesia,oke. mulai banyak promo lagi setelah satu tahun kemarin sepi,4,2025-04-01 08:17:48
Rafly Kasim,Bosku saya tidak bisa download aplikasi blu by BCA Digital,5,2025-04-01 08:13:44
Naravis,banyak biaya gajelas,2,2025-04-01 04:19:52
ella rai,bagus buat menabunv,5,2025-04-01 04:17:04
Yohanes Kwee,mantap,5,2025-04-01 03:50:56
Riyanto Anidita,re pree,4,2025-04-01 03:39:22
Eka Putriasih,saya sudah kirim email tapi tidak kjnjung dijawab. pas trasaksi juga gk dapat kode otp..... pljs ya.... perbaiki buknya. saya ini sudah lelah. untuk pembayaran pake kris juga ribet banget gak bisa ke ditek gambarnya... apalah. untung saya punya bank digital yang lain jadi bisa transaksi.,5,2025-03-31 23:26:24
Moh Akbar Jujur Luqmana,percepat lagi dong apk nya terhambat sama lemotnya ini,2,2025-03-31 21:26:37
Angri Novita Dewi,"update mulu, padahal ga ada kemajuan, loading lama bgt gila.",1,2025-03-31 18:00:01
sakkot silalahi,blu sangat mempermudah transaksi,5,2025-03-31 15:11:00
Saya Saya,sangat puas pke aplikasi ini...,5,2025-03-31 06:41:29
Irhamsyah,"Lemot banget sumpah, mending pke my BCA",1,2025-03-31 06:11:29
Yamani 481,ok,5,2025-03-31 03:15:33
yoko Sagitarius aja,mantap banget,5,2025-03-31 03:10:04
Glenn,kreeeen amannn dan terjangkau mudah hamoir sama dengan apk DANA proteck keamanan terjamin i like it pokonya rekomen banget kalok mau nabung atau pakai bisnis onnline ini yg saya cari2 akhirnya ktmu dngan apk ter amanah 🥰🥰🥰🥰😞👍👍👍,5,2025-03-31 02:44:34
Desfita_s,"UI bagus menu ga ribet, minus lelet aja sih kadang, sama saran dari aku tolong munculin barcode untuk bayar suka struggle Kalau belanja di Alfamart atau di market mana gt yg mengharuskan kode barcode",5,2025-03-31 01:16:47
Hari Sukamto,Akan lebih Ok kalo bisa di buka di 2 device seperti sebelah. sekarang rata rata orang sudah pake 2 device.,4,2025-03-30 23:55:35
Abdil Band,agak ribet,4,2025-03-30 16:49:15
Sigit Widigdo,bagus,5,2025-03-30 12:49:18
Kayla Atun,maaf tapi saya apus soal nya saya gq ngerti cara nya,5,2025-03-30 11:01:00
MUHAMMAD SYIDQI AL- BADAWI,"TOLONG DONG PIHAK DEVELOPER. UNTUK TRANSFER KE E WALLET SEPERTI DANA, SHOPPE PAY, GOPAY DLL. MOHON UNTUK TRANSAKSI NYA BEBAS BIAYA ADMIN 10X DALAM SEBULAN AJA. AGAR LEBIH NYAMAN UNTUK TRANSAKSI",1,2025-03-30 10:46:25
Notaris C Anam,lemot aplikasi nya. jika butuh pembayaran cepat,1,2025-03-30 10:17:14
Mustofa,"simple, mudah dan cepat",5,2025-03-30 08:33:48
Arsi Plus Studio,awesome,4,2025-03-30 08:16:00
Tita Juwita,transaksi lancar tanpa hambatan,5,2025-03-30 07:42:13
Marina Ayu,"Bank Benalu BCA, Transaksi sukses penerima tidak ada saldo masuk. Layanan CS lambat Mending jangan pakai blu dari pada nyesel, malu sama keluarga Transfer bukti sudah sukses penerima gak ada saldo masuk. #Uninstalblu",1,2025-03-30 06:43:30
nuri safitri,"akun ke blokir sudah isi data benar, tapi balik lagi masih ke blokir lebih dari 3x tolong perbaiki blu",4,2025-03-30 01:34:10
Ctyrhm4h 17,"aplikasinya bagus, hp aku nya aja yang kentang",4,2025-03-30 00:54:43
Bahri,bagus,5,2025-03-29 18:49:06
Muhammad Nah,👍🏻,5,2025-03-29 14:58:36
Vicky Rizki Suharto Putra Prasetya,sangat bagus dan tidak mengecewakan,5,2025-03-29 13:43:31
gusma wati,sangat bagus sekali... saya sangat nyaman memakai memakai blu bca,5,2025-03-29 12:55:08
Zufar Al hasyimi,"min kapan rilis fitur create QRIS buat bayar nyaa?, ditungguu",5,2025-03-29 12:05:02
Riski Hafiz,Kalau blu sudah menyediakan kartu debit fisik kayak bank digital sebelah baru akan saya kasih bintang 5,5,2025-03-29 10:32:32
andhika satyaludhira,nie aplikasi kenapa lgi c kok crash melulu... masak verifikasi wajah hampir 1 jam gagal terus... kameranya kenapa woooeeeyyyyy,5,2025-03-29 08:40:28
Yohanes Fional,"perbaiki lagi untuk pembayaran via virtual account bca sering bermasalah, sering tidak dikenali nomor virtual accountnya.",4,2025-03-29 08:01:19
Hasan Hasanudin,sejak pake blu serasa punya atm pribadi dg banyak rekening mau saving dengan beberapa post mudah. untuk saving dan untuk Cash flow,5,2025-03-29 06:31:27
Ridho Fahtoni,mantap,5,2025-03-29 04:56:01
Sambal Lalap,bagus sekali!!,5,2025-03-29 04:47:46
sartono,ok,5,2025-03-28 16:40:50
Regi Ryansyah,"Aplikasinya berat kadang"" ga loading terus juga suka ngebug, admin mohon di perbaiki ,jika apl nya sudah ringan dan tidak banyak bug maka rating akan sy kasih bintang 5",3,2025-03-28 16:00:16
Trading Roker,"fiturnya sudah bagus,,cuma lemot muter2 mulu,coba di bikin satset",5,2025-03-28 14:54:53
NIA KURNIA MUHAMMAD,"Pengalaman pertama pakai aplikasi ini, bagus, namun sayang sekali animasi loading nya lama, jadi nunggu nya agak lama",3,2025-03-28 13:43:15
Fransisko Oki,the best,5,2025-03-28 12:41:45
Oppaku Premium Store,"aplikasi ngebug saat melakukan transfer, tampilan tutorialnya tidak full screen dan nge freeze ga bisa dilanjutkan ke tahap berikutnya bad quality",1,2025-03-28 11:42:26
Cahya Nia0ci,"lama-lama muak terlalu banyak update, paling gk suka kalau suruh update. dan kalau gk di update gk bisa buka ini aplikasi....jengkel de. belum tentu semua hp memo penuh",3,2025-03-28 10:09:21
Recky Gumantara,mau buka rekening tapi blm di acc,1,2025-03-28 10:02:38
Nur Hadi,Terbantu untuk save keuangan,5,2025-03-28 09:23:14
Budi Yasril,Nice BLU BCA..,5,2025-03-28 08:19:51
Gedhe Darma Yuda (GedheYuda),Bagus,5,2025-03-28 06:13:45
amirah Sakinah,"blu bca tiap mau dibuka selalu lelet ihh loadingnya lamaa, keganggu banget",3,2025-03-28 05:33:54
alya zahara,aplikasinya agak lelet,3,2025-03-28 05:32:13
Duckmenn Sens,bagus dan mudah digunakan,5,2025-03-28 04:46:55
Arki Yuzar,untuk respon cepat di saat ada kendala,5,2025-03-28 03:35:55
Yann,"aplikasi ini bagus memudahkan saya untuk menabung dan transfer, tapi seringkali minta update padahal saya buru buru harus transfer tapi terkendala harus update terlebih dahulu jadi nunggu lama lagi",3,2025-03-28 03:28:37
Melda Imelda,"suka bangett sama blu bca, tp syg sekarang udah ada biaya admin setiap tf 🥹",5,2025-03-28 02:32:07
Maulana Akbar,"ni aplikasi bagus sebenernyaaa,tapi kenaapaa suka ngelagh bgt dah,padahal jaringan bagus",3,2025-03-28 02:24:09
Hawa Virginia,Sudah bagus tapi kurang sat set untuk bayar bayar,4,2025-03-28 02:17:34
Patris Iin,"sangat efisien dalam transaksi tertentu, berdicount di transaksi terntentu. Good amplications.",5,2025-03-28 01:24:43
